,Year,Publisher,Citation Sum
284,2009.0,ui.adsabs.harvard.edu,169
285,2010.0,ACS Publications,16821
286,2010.0,Elsevier,9072
287,2010.0,Google Patents,641
288,2010.0,Wiley Online Library,1369
289,2010.0,academia.edu,228
290,2010.0,aip.scitation.org,49
291,2010.0,asmedigitalcollection.asme.org,412
292,2010.0,books.google.com,477
293,2010.0,ieeexplore.ieee.org,1074
294,2010.0,iopscience.iop.org,738
295,2010.0,mdpi.com,289
296,2010.0,nature.com,3023
297,2010.0,osapublishing.org,4
298,2010.0,osti.gov,0
299,2010.0,pubs.rsc.org,2338
300,2011.0,194.226.210.10,209
301,2011.0,ACS Publications,7729
302,2011.0,Elsevier,10072
303,2011.0,Google Patents,330
304,2011.0,National Acad Sciences,199
305,2011.0,Springer,421
306,2011.0,Taylor & Francis,572
307,2011.0,Wiley Online Library,5020
308,2011.0,aip.scitation.org,53
309,2011.0,bjo.bmj.com,55
310,2011.0,books.google.com,134
311,2011.0,electrochemsci.org,59
312,2011.0,ieeexplore.ieee.org,1225
313,2011.0,int-res.com,49
314,2011.0,iopscience.iop.org,3045
315,2011.0,journals.sagepub.com,105
316,2011.0,manu56.magtech.com.cn,9
317,2011.0,mdpi.com,719
318,2011.0,nature.com,311
319,2011.0,osapublishing.org,10
320,2011.0,pubs.rsc.org,5068
321,2011.0,science.sciencemag.org,1251
322,2012.0,ACS Publications,11855
323,2012.0,APS,44
324,2012.0,Elsevier,11854
325,2012.0,IET,42
326,2012.0,National Acad Sciences,685
327,2012.0,Springer,582
328,2012.0,Trans Tech Publ,61
329,2012.0,Wiley Online Library,10030
330,2012.0,aip.scitation.org,84
331,2012.0,annualreviews.org,242
332,2012.0,batterypoweronline.com,106
333,2012.0,books.google.com,222
334,2012.0,electrochemsci.org,91
335,2012.0,ieeexplore.ieee.org,1575
336,2012.0,iopscience.iop.org,2101
337,2012.0,iovs.arvojournals.org,73
338,2012.0,nature.com,2169
339,2012.0,osti.gov,158
340,2012.0,pubs.rsc.org,6905
341,2013.0,ACS Publications,15086
342,2013.0,Elsevier,13658
343,2013.0,Google Patents,310
344,2013.0,Springer,567
345,2013.0,Wiley Online Library,6604
346,2013.0,aip.scitation.org,17
347,2013.0,books.google.com,205
348,2013.0,electrochemsci.org,249
349,2013.0,ieeexplore.ieee.org,821
350,2013.0,ingentaconnect.com,37
351,2013.0,iopscience.iop.org,1091
352,2013.0,koreascience.or.kr,16
353,2013.0,mdpi.com,1023
354,2013.0,nature.com,2879
355,2013.0,pubs.rsc.org,4241
356,2014.0,ACS Publications,7959
357,2014.0,Elsevier,10555
358,2014.0,Google Patents,193
359,2014.0,Springer,910
360,2014.0,Taylor & Francis,403
361,2014.0,Wiley Online Library,5404
362,2014.0,World Scientific,30
363,2014.0,aip.scitation.org,94
364,2014.0,apps.dtic.mil,59
365,2014.0,cambridge.org,127
366,2014.0,electrochemsci.org,40
367,2014.0,energy.gov,2
368,2014.0,ieeexplore.ieee.org,543
369,2014.0,iopscience.iop.org,510
370,2014.0,mdpi.com,93
371,2014.0,nature.com,6977
372,2014.0,pubs.rsc.org,7679
373,2014.0,scirp.org,43
374,2015.0,ACS Publications,6635
375,2015.0,Elsevier,8269
376,2015.0,Google Patents,114
377,2015.0,Springer,39
378,2015.0,Wiley Online Library,3686
379,2015.0,books.google.com,208
380,2015.0,eng.uwo.ca,69
381,2015.0,ieeexplore.ieee.org,500
382,2015.0,iopscience.iop.org,1197
383,2015.0,koreascience.or.kr,7
384,2015.0,nature.com,2811
385,2015.0,publications.lib.chalmers.se,26
386,2015.0,pubs.rsc.org,3734
387,2015.0,researchgate.net,119
388,2015.0,science.sciencemag.org,1071
389,2016.0,ACS Publications,4425
390,2016.0,Elsevier,6844
391,2016.0,Google Patents,18
392,2016.0,Springer,66
393,2016.0,Wiley Online Library,7013
394,2016.0,aip.scitation.org,31
395,2016.0,asmedigitalcollection.asme.org,44
396,2016.0,cambridge.org,52
397,2016.0,ieeexplore.ieee.org,508
398,2016.0,iopscience.iop.org,1508
399,2016.0,journals.plos.org,9
400,2016.0,nature.com,4181
401,2016.0,papersearch.net,0
402,2016.0,pubs.rsc.org,1582
403,2016.0,researchgate.net,83
404,2017.0,ACS Publications,4581
405,2017.0,Elsevier,4890
406,2017.0,Google Patents,121
407,2017.0,National Acad Sciences,56
408,2017.0,Springer,582
409,2017.0,Wiley Online Library,6783
410,2017.0,advances.sciencemag.org,202
411,2017.0,enerjiye.com,151
412,2017.0,ieeexplore.ieee.org,346
413,2017.0,iopscience.iop.org,831
414,2017.0,mdpi.com,465
415,2017.0,nature.com,994
416,2017.0,publications.lib.chalmers.se,26
417,2017.0,pubs.rsc.org,1640
418,2017.0,science.sciencemag.org,1119
419,2017.0,search.proquest.com,1
420,2017.0,sites01.lsu.edu,27
421,2017.0,trace.tennessee.edu,0
422,2018.0,ACS Publications,941
423,2018.0,Elsevier,4307
424,2018.0,Wiley Online Library,5158
425,2018.0,advances.sciencemag.org,334
426,2018.0,cambridge.org,0
427,2018.0,diva-portal.org,0
428,2018.0,ieeexplore.ieee.org,188
429,2018.0,iopscience.iop.org,96
430,2018.0,journals.plos.org,10
431,2018.0,jov.arvojournals.org,8
432,2018.0,mdpi.com,36
433,2018.0,nature.com,1518
434,2018.0,pubs.rsc.org,928
435,2018.0,science.sciencemag.org,53
436,2019.0,ACS Publications,134
437,2019.0,Elsevier,790
438,2019.0,Google Patents,2
439,2019.0,Springer,17
440,2019.0,Wiley Online Library,974
441,2019.0,frontiersin.org,6
442,2019.0,ieeexplore.ieee.org,26
443,2019.0,iopscience.iop.org,55
444,2019.0,nature.com,330
445,2019.0,pubs.rsc.org,352
446,2020.0,ACS Publications,3
447,2020.0,Elsevier,42
448,2020.0,Google Patents,5
449,2020.0,Springer,0
450,2020.0,Wiley Online Library,3
451,2020.0,electrochemsci.org,2
452,2020.0,iopscience.iop.org,4
453,2020.0,nature.com,1
454,2020.0,pubmed.ncbi.nlm.nih.gov,1
455,2020.0,pubs.rsc.org,0
